nm, A
320.000000, 0.384436
319.000000, 0.384327
318.000000, 0.384106
317.000000, 0.383748
316.000000, 0.383518
315.000000, 0.383215
314.000000, 0.383052
313.000000, 0.382738
312.000000, 0.382457
311.000000, 0.382234
310.000000, 0.382038
309.000000, 0.381874
308.000000, 0.381712
307.000000, 0.381493
306.000000, 0.381369
305.000000, 0.381283
304.000000, 0.381085
303.000000, 0.380996
302.000000, 0.380797
301.000000, 0.380889
300.000000, 0.380728
299.000000, 0.380811
298.000000, 0.380703
297.000000, 0.380654
296.000000, 0.380789
295.000000, 0.380680
294.000000, 0.380759
293.000000, 0.380707
292.000000, 0.380790
291.000000, 0.380919
290.000000, 0.380976
289.000000, 0.381070
288.000000, 0.381148
287.000000, 0.381114
286.000000, 0.381239
285.000000, 0.381170
284.000000, 0.381084
283.000000, 0.381155
282.000000, 0.381107
281.000000, 0.381032
280.000000, 0.381095
279.000000, 0.381107
278.000000, 0.381121
277.000000, 0.381039
276.000000, 0.381004
275.000000, 0.381076
274.000000, 0.381172
273.000000, 0.381104
272.000000, 0.381120
271.000000, 0.381189
270.000000, 0.381160
269.000000, 0.381224
268.000000, 0.381177
267.000000, 0.381213
266.000000, 0.381258
265.000000, 0.381301
264.000000, 0.381222
263.000000, 0.381216
262.000000, 0.381371
261.000000, 0.381509
260.000000, 0.381572
259.000000, 0.381698
258.000000, 0.381694
257.000000, 0.381926
256.000000, 0.382055
255.000000, 0.382127
254.000000, 0.382473
253.000000, 0.382972
252.000000, 0.383544
251.000000, 0.384162
250.000000, 0.384817
249.000000, 0.385826
248.000000, 0.387289
247.000000, 0.389177
246.000000, 0.391505
245.000000, 0.394462
244.000000, 0.398108
243.000000, 0.402671
242.000000, 0.408268
241.000000, 0.415213
240.000000, 0.423592
239.000000, 0.433918
238.000000, 0.446252
237.000000, 0.460745
236.000000, 0.477821
235.000000, 0.497824
234.000000, 0.520889
233.000000, 0.547496
232.000000, 0.578165
231.000000, 0.613051
230.000000, 0.652137
