nm, A
320.000000, 0.381178
319.000000, 0.381127
318.000000, 0.381005
317.000000, 0.380935
316.000000, 0.380783
315.000000, 0.380630
314.000000, 0.380636
313.000000, 0.380570
312.000000, 0.380409
311.000000, 0.380344
310.000000, 0.380316
309.000000, 0.380301
308.000000, 0.380338
307.000000, 0.380307
306.000000, 0.380343
305.000000, 0.380376
304.000000, 0.380386
303.000000, 0.380527
302.000000, 0.380557
301.000000, 0.380659
300.000000, 0.380738
299.000000, 0.380891
298.000000, 0.381034
297.000000, 0.381145
296.000000, 0.381331
295.000000, 0.381374
294.000000, 0.381624
293.000000, 0.381664
292.000000, 0.381931
291.000000, 0.382182
290.000000, 0.382384
289.000000, 0.382572
288.000000, 0.382702
287.000000, 0.382956
286.000000, 0.383115
285.000000, 0.383294
284.000000, 0.383477
283.000000, 0.383643
282.000000, 0.383865
281.000000, 0.383957
280.000000, 0.384178
279.000000, 0.384450
278.000000, 0.384642
277.000000, 0.384987
276.000000, 0.385172
275.000000, 0.385494
274.000000, 0.385832
273.000000, 0.386109
272.000000, 0.386522
271.000000, 0.386915
270.000000, 0.387336
269.000000, 0.387745
268.000000, 0.388116
267.000000, 0.388602
266.000000, 0.389119
265.000000, 0.389499
264.000000, 0.390006
263.000000, 0.390518
262.000000, 0.391095
261.000000, 0.391838
260.000000, 0.392496
259.000000, 0.393143
258.000000, 0.393746
257.000000, 0.394548
256.000000, 0.395342
255.000000, 0.396207
254.000000, 0.397260
253.000000, 0.398409
252.000000, 0.399726
251.000000, 0.401273
250.000000, 0.402919
249.000000, 0.405039
248.000000, 0.407747
247.000000, 0.410971
246.000000, 0.415009
245.000000, 0.419900
244.000000, 0.425937
243.000000, 0.433400
242.000000, 0.442689
241.000000, 0.454408
240.000000, 0.468787
239.000000, 0.486683
238.000000, 0.508747
237.000000, 0.535610
236.000000, 0.568481
235.000000, 0.608428
234.000000, 0.656444
233.000000, 0.714583
232.000000, 0.784761
231.000000, 0.868896
230.000000, 0.968718
