     index            Field [G]         Intensity []

         1                 3270             -7401216
         2     3270.09775171065             -7200431
         3     3270.19550342131             -7296309
         4     3270.29325513196             -7401704
         5     3270.39100684262             -7352986
         6     3270.48875855327             -7562902
         7     3270.58651026393             -7259890
         8     3270.68426197458             -7071201
         9     3270.78201368524             -6973506
        10     3270.87976539589             -7089802
        11     3270.97751710655             -7239187
        12      3271.0752688172             -7236387
        13     3271.17302052786             -6922115
        14     3271.27077223851             -6911409
        15     3271.36852394917             -7075767
        16     3271.46627565982             -6918530
        17     3271.56402737048             -6999003
        18     3271.66177908113             -6638058
        19     3271.75953079179             -6836389
        20     3271.85728250244             -7016392
        21      3271.9550342131             -6865156
        22     3272.05278592375             -7125144
        23     3272.15053763441             -7109430
        24     3272.24828934506             -7143124
        25     3272.34604105572             -7133655
        26     3272.44379276637             -6876919
        27     3272.54154447703             -7005423
        28     3272.63929618768             -7271358
        29     3272.73704789834             -7008845
        30     3272.83479960899             -6926333
        31     3272.93255131965             -7011399
        32      3273.0303030303             -7095126
        33     3273.12805474096             -7253603
        34     3273.22580645161             -7456956
        35     3273.32355816227             -7245612
        36     3273.42130987292             -7263291
        37     3273.51906158358             -7357208
        38     3273.61681329423             -7237879
        39     3273.71456500489             -7258308
        40     3273.81231671554             -7483761
        41      3273.9100684262             -7494868
        42     3274.00782013685             -7639835
        43     3274.10557184751             -7324741
        44     3274.20332355816             -7168742
        45     3274.30107526882             -7240075
        46     3274.39882697947             -7446429
        47     3274.49657869013             -7933847
        48     3274.59433040078             -7556026
        49     3274.69208211144             -7385191
        50     3274.78983382209             -7914951
        51     3274.88758553275             -7839408
        52      3274.9853372434             -7431853
        53     3275.08308895406             -7726673
        54     3275.18084066471             -8102265
        55     3275.27859237537             -7315716
        56     3275.37634408602             -6696244
        57     3275.47409579668             -7243068
        58     3275.57184750733             -7100956
        59     3275.66959921799             -7369958
        60     3275.76735092864             -7403218
        61      3275.8651026393             -7204147
        62     3275.96285434995             -7027542
        63     3276.06060606061             -6999049
        64     3276.15835777126             -7024476
        65     3276.25610948192             -6948128
        66     3276.35386119257             -7268288
        67     3276.45161290323             -7122842
        68     3276.54936461388             -6864366
        69     3276.64711632454             -6773585
        70     3276.74486803519             -6741264
        71     3276.84261974585             -6797666
        72      3276.9403714565             -7086349
        73     3277.03812316716             -6878488
        74     3277.13587487781             -6553296
        75     3277.23362658847             -6668973
        76     3277.33137829912             -6803675
        77     3277.42913000978             -6722029
        78     3277.52688172043             -6833233
        79     3277.62463343108             -6857154
        80     3277.72238514174             -6460758
        81      3277.8201368524             -6647943
        82     3277.91788856305             -6727790
        83      3278.0156402737             -6546703
        84     3278.11339198436             -6725931
        85     3278.21114369501             -6408813
        86     3278.30889540567             -6384099
        87     3278.40664711632             -6712894
        88     3278.50439882698             -6668376
        89     3278.60215053763             -6927915
        90     3278.69990224829             -7223049
        91     3278.79765395894             -6886381
        92      3278.8954056696             -6988545
        93     3278.99315738025             -7103539
        94     3279.09090909091             -7202530
        95     3279.18866080156             -7300971
        96     3279.28641251222             -7258826
        97     3279.38416422287             -7260322
        98     3279.48191593353             -7272328
        99     3279.57966764418             -7154658
       100     3279.67741935484             -7682605
       101     3279.77517106549             -7742336
       102     3279.87292277615             -7481665
       103      3279.9706744868             -7217235
       104     3280.06842619746             -7233869
       105     3280.16617790811             -7429250
       106     3280.26392961877             -7272388
       107     3280.36168132942             -7406269
       108     3280.45943304008             -7375725
       109     3280.55718475073             -7077706
       110     3280.65493646139             -7212591
       111     3280.75268817204             -7653868
       112      3280.8504398827             -7288570
       113     3280.94819159335             -7067328
       114     3281.04594330401             -7447586
       115     3281.14369501466             -7170982
       116     3281.24144672532             -7190702
       117     3281.33919843597             -7310450
       118     3281.43695014663             -7043341
       119     3281.53470185728             -6767542
       120     3281.63245356794             -6949052
       121     3281.73020527859             -7511926
       122     3281.82795698925             -7135525
       123      3281.9257086999             -7108628
       124     3282.02346041056             -7358171
       125     3282.12121212121             -7200336
       126     3282.21896383187             -7091423
       127     3282.31671554252             -6720391
       128     3282.41446725318             -6440130
       129     3282.51221896383             -6684686
       130     3282.60997067449             -6703639
       131     3282.70772238514             -6660725
       132      3282.8054740958             -6721429
       133     3282.90322580645             -6361792
       134     3283.00097751711             -6998078
       135     3283.09872922776             -6856459
       136     3283.19648093842             -6463282
       137     3283.29423264907             -6700281
       138     3283.39198435973             -6608957
       139     3283.48973607038             -6354356
       140     3283.58748778104             -6731945
       141     3283.68523949169             -6556609
       142     3283.78299120235             -6585113
       143       3283.880742913             -6546387
       144     3283.97849462366             -6213883
       145     3284.07624633431             -6437901
       146     3284.17399804497             -6414779
       147     3284.27174975562             -6260481
       148     3284.36950146628             -6032440
       149     3284.46725317693             -6242210
       150     3284.56500488759             -5973686
       151     3284.66275659824             -6368164
       152      3284.7605083089             -6436810
       153     3284.85826001955             -6532742
       154     3284.95601173021             -6500587
