     index            Field [G]             Time [s]         Intensity []

         1                 3270                    0               -26256
         2     3270.09775171065                    0               -22362
         3     3270.19550342131                    0               -20409
         4     3270.29325513196                    0               -25749
         5     3270.39100684262                    0               -22203
         6     3270.48875855327                    0               -20254
         7     3270.58651026393                    0               -20690
         8     3270.68426197458                    0               -25516
         9     3270.78201368524                    0               -23315
        10     3270.87976539589                    0               -21080
        11     3270.97751710655                    0               -22397
        12      3271.0752688172                    0               -22483
        13     3271.17302052786                    0               -23578
        14     3271.27077223851                    0               -24432
        15     3271.36852394917                    0               -19221
        16     3271.46627565982                    0               -18233
        17     3271.56402737048                    0               -20546
        18     3271.66177908113                    0               -23342
        19     3271.75953079179                    0               -20967
        20     3271.85728250244                    0               -21669
        21      3271.9550342131                    0               -18056
        22     3272.05278592375                    0               -23988
        23     3272.15053763441                    0               -20718
        24     3272.24828934506                    0               -18213
        25     3272.34604105572                    0               -24751
        26     3272.44379276637                    0               -24303
        27     3272.54154447703                    0               -19459
        28     3272.63929618768                    0               -19091
        29     3272.73704789834                    0               -24759
        30     3272.83479960899                    0               -20986
        31     3272.93255131965                    0               -19731
        32      3273.0303030303                    0               -23253
        33     3273.12805474096                    0               -19954
        34     3273.22580645161                    0               -22076
        35     3273.32355816227                    0               -24424
        36     3273.42130987292                    0               -22780
        37     3273.51906158358                    0               -20156
        38     3273.61681329423                    0               -25909
        39     3273.71456500489                    0               -20840
        40     3273.81231671554                    0               -19427
        41      3273.9100684262                    0               -20027
        42     3274.00782013685                    0               -20361
        43     3274.10557184751                    0               -22624
        44     3274.20332355816                    0               -20855
        45     3274.30107526882                    0               -22848
        46     3274.39882697947                    0               -26023
        47     3274.49657869013                    0               -26402
        48     3274.59433040078                    0               -25661
        49     3274.69208211144                    0               -23234
        50     3274.78983382209                    0               -18737
        51     3274.88758553275                    0               -22371
        52      3274.9853372434                    0               -24464
        53     3275.08308895406                    0               -22286
        54     3275.18084066471                    0               -23822
        55     3275.27859237537                    0               -23893
        56     3275.37634408602                    0               -22022
