2Rex280_ex10_em10_x1.sp;;2Rex280_ex10_em10_NaOH25mM.sp;;2Rex280_ex10_em10_NaOH50mM.sp;;2Rex280_ex10_em10_NaOH75mM.sp;;
Wavelength [nm];Absorbance;Wavelength [nm];Absorbance;Wavelength [nm];Absorbance;Wavelength [nm];Absorbance;
250.000;0.059;250.000;0.17;250.000;0.031;250.000;0.026;
250.500;0.052581;250.500;0.13557;250.500;0.046362;250.500;0.047963;
251.000;0.044901;251.000;0.10696;251.000;0.056069;251.000;0.065612;
251.500;0.036356;251.500;0.084912;251.500;0.062137;251.500;0.079189;
252.000;0.032097;252.000;0.068395;252.000;0.067305;252.000;0.08413;
252.500;0.034109;252.500;0.058986;252.500;0.069996;252.500;0.0835;
253.000;0.037878;253.000;0.050892;253.000;0.068803;253.000;0.079766;
253.500;0.040337;253.500;0.044964;253.500;0.063615;253.500;0.071932;
254.000;0.047989;254.000;0.044543;254.000;0.063303;254.000;0.066122;
254.500;0.062625;254.500;0.049135;254.500;0.073811;254.500;0.067419;
255.000;0.080385;255.000;0.0553;255.000;0.088041;255.000;0.075009;
255.500;0.095123;255.500;0.065844;255.500;0.10174;255.500;0.083939;
256.000;0.1036;256.000;0.08259;256.000;0.11497;256.000;0.098494;
256.500;0.10788;256.500;0.10206;256.500;0.13121;256.500;0.11213;
257.000;0.10963;257.000;0.1221;257.000;0.14541;257.000;0.12769;
257.500;0.108;257.500;0.1369;257.500;0.15029;257.500;0.14158;
258.000;0.098148;258.000;0.14149;258.000;0.13958;258.000;0.14421;
258.500;0.085147;258.500;0.1343;258.500;0.1263;258.500;0.13984;
259.000;0.074848;259.000;0.1249;259.000;0.11628;259.000;0.12584;
259.500;0.066764;259.500;0.10852;259.500;0.10514;259.500;0.10396;
260.000;0.055441;260.000;0.088951;260.000;0.08918;260.000;0.073143;
260.500;0.04447;260.500;0.077558;260.500;0.081671;260.500;0.045662;
261.000;0.044931;261.000;0.072739;261.000;0.094814;261.000;0.02488;
261.500;0.052264;261.500;0.078411;261.500;0.13559;261.500;0.022968;
262.000;0.077458;262.000;0.1078;262.000;0.20994;262.000;0.055685;
262.500;0.12613;262.500;0.16851;262.500;0.31009;262.500;0.1289;
263.000;0.20882;263.000;0.27203;263.000;0.45874;263.000;0.25951;
263.500;0.34824;263.500;0.44375;263.500;0.67517;263.500;0.46088;
264.000;0.56328;264.000;0.69628;264.000;0.98636;264.000;0.76681;
264.500;0.88403;264.500;1.074;264.500;1.4363;264.500;1.216;
265.000;1.3519;265.000;1.6433;265.000;2.0782;265.000;1.8644;
265.500;2.0239;265.500;2.4579;265.500;2.9764;265.500;2.7656;
266.000;2.9378;266.000;3.5378;266.000;4.1857;266.000;3.9656;
266.500;4.142;266.500;4.9388;266.500;5.7877;266.500;5.5444;
267.000;5.7118;267.000;6.7512;267.000;7.8766;267.000;7.6019;
267.500;7.7027;267.500;9.0293;267.500;10.493;267.500;10.206;
268.000;10.157;268.000;11.812;268.000;13.692;268.000;13.426;
268.500;13.067;268.500;15.099;268.500;17.517;268.500;17.3;
269.000;16.521;269.000;18.975;269.000;22.101;269.000;21.947;
269.500;20.542;269.500;23.532;269.500;27.44;269.500;27.397;
270.000;25.195;270.000;28.785;270.000;33.578;270.000;33.619;
270.500;30.462;270.500;34.747;270.500;40.514;270.500;40.617;
271.000;36.265;271.000;41.304;271.000;48.183;271.000;48.303;
271.500;42.569;271.500;48.503;271.500;56.6;271.500;56.647;
272.000;49.329;272.000;56.292;272.000;65.626;272.000;65.591;
272.500;56.423;272.500;64.53;272.500;75.061;272.500;74.952;
273.000;63.656;273.000;73.012;273.000;84.673;273.000;84.55;
273.500;70.945;273.500;81.54;273.500;94.422;273.500;94.251;
274.000;78.143;274.000;90.004;274.000;104.1;274.000;103.9;
274.500;85.163;274.500;98.219;274.500;113.49;274.500;113.24;
275.000;91.862;275.000;106.07;275.000;122.39;275.000;122.13;
275.500;98.025;275.500;113.28;275.500;130.59;275.500;130.35;
276.000;103.51;276.000;119.78;276.000;137.96;276.000;137.77;
276.500;108.25;276.500;125.43;276.500;144.31;276.500;144.2;
277.000;112.11;277.000;130.04;277.000;149.41;277.000;149.42;
277.500;114.92;277.500;133.47;277.500;153.02;277.500;153.26;
278.000;116.61;278.000;135.66;278.000;155.16;278.000;155.61;
278.500;117.09;278.500;136.55;278.500;155.78;278.500;156.36;
279.000;116.38;279.000;136.02;279.000;154.81;279.000;155.43;
279.500;114.52;279.500;134.14;279.500;152.26;279.500;152.85;
280.000;111.49;280.000;130.84;280.000;148.21;280.000;148.66;
280.500;107.39;280.500;126.35;280.500;142.8;280.500;143.07;
281.000;102.31;281.000;120.71;281.000;136.16;281.000;136.18;
281.500;96.383;281.500;113.97;281.500;128.45;281.500;128.12;
282.000;89.724;282.000;106.34;282.000;119.74;282.000;119.12;
282.500;82.563;282.500;98.043;282.500;110.28;282.500;109.42;
283.000;75.104;283.000;89.318;283.000;100.45;283.000;99.199;
283.500;67.523;283.500;80.366;283.500;90.421;283.500;88.728;
284.000;60.001;284.000;71.38;284.000;80.336;284.000;78.214;
284.500;52.674;284.500;62.566;284.500;70.472;284.500;67.903;
285.000;45.726;285.000;54.246;285.000;61.058;285.000;58.1;
285.500;39.239;285.500;46.536;285.500;52.223;285.500;48.929;
286.000;33.278;286.000;39.469;286.000;44.136;286.000;40.503;
286.500;27.856;286.500;33.126;286.500;36.785;286.500;32.914;
287.000;23.067;287.000;27.535;287.000;30.245;287.000;26.22;
287.500;18.981;287.500;22.761;287.500;24.676;287.500;20.418;
288.000;15.59;288.000;18.819;288.000;20.092;288.000;15.536;
288.500;12.871;288.500;15.661;288.500;16.405;288.500;11.549;
289.000;10.781;289.000;13.233;289.000;13.607;289.000;8.4176;
289.500;9.3401;289.500;11.526;289.500;11.663;289.500;6.0831;
290.000;8.4757;290.000;10.466;290.000;10.454;290.000;4.4482;
290.500;8.0784;290.500;9.9205;290.500;9.9146;290.500;3.3983;
291.000;8.0172;291.000;9.8492;291.000;9.8694;291.000;2.8288;
291.500;8.2048;291.500;10.092;291.500;10.147;291.500;2.5898;
292.000;8.6014;292.000;10.553;292.000;10.687;292.000;2.5773;
292.500;9.1356;292.500;11.205;292.500;11.386;292.500;2.7078;
293.000;9.7491;293.000;11.935;293.000;12.139;293.000;2.9092;
293.500;10.389;293.500;12.729;293.500;12.934;293.500;3.1611;
294.000;11.056;294.000;13.562;294.000;13.781;294.000;3.4299;
294.500;11.746;294.500;14.444;294.500;14.642;294.500;3.6954;
